"ダウンロードした時刻：2023/11/10 22:50:25"
""
"","東京","東京","東京","東京","東京","東京","東京","東京","東京","東京","東京","東京","東京","東京","東京","東京","東京","東京","東京","東京","東京","東京","東京","東京","東京","東京"
"","東京","東京","東京","東京","東京","東京","東京","東京","東京","東京","東京","東京","東京","東京","東京","東京","東京","東京","東京","東京","東京","東京","東京","東京","東京","東京"
"年月日","平均気温(℃)","平均気温(℃)","平均気温(℃)","最高気温(℃)","最高気温(℃)","最高気温(℃)","最低気温(℃)","最低気温(℃)","最低気温(℃)","日照時間(時間)","日照時間(時間)","日照時間(時間)","日照時間(時間)","降水量の合計(mm)","降水量の合計(mm)","降水量の合計(mm)","降水量の合計(mm)","平均蒸気圧(hPa)","平均蒸気圧(hPa)","平均蒸気圧(hPa)","平均現地気圧(hPa)","平均現地気圧(hPa)","平均現地気圧(hPa)","平均雲量(10分比)","平均雲量(10分比)","平均雲量(10分比)"
"","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","品質情報","均質番号","","品質情報","均質番号","","品質情報","均質番号","","現象なし情報","品質情報","均質番号","","現象なし情報","品質情報","均質番号","","品質情報","均質番号","","品質情報","均質番号","","品質情報","均質番号"
"2023/10/1","25.6","8","1","29.9","8","1","23.3","8","1","1.7","0","8","1","0.0","0","8","1","26.3","8","1","1003.4","8","1","9.8","8","1"
"2023/10/2","23.3","8","1","27.1","8","1","19.6","8","1","5.2","0","8","1","0","1","8","1","16.1","8","1","1009.4","8","1","8.8","8","1"
"2023/10/3","22.8","8","1","27.3","8","1","17.9","8","1","9.2","0","8","1","0","1","8","1","14.5","8","1","1014.6","8","1","6.8","8","1"
"2023/10/4","18.7","8","1","23.1","8","1","17.3","8","1","0.0","0","8","1","15.0","0","8","1","20.2","8","1","1010.9","8","1","10.0","8","1"
"2023/10/5","20.0","8","1","26.4","8","1","16.9","8","1","2.8","0","8","1","0","1","8","1","17.7","8","1","998.9","8","1","8.5","8","1"
"2023/10/6","20.8","8","1","25.8","8","1","15.9","8","1","10.8","0","8","1","0","1","8","1","9.1","8","1","1005.6","8","1","0.3","8","1"
"2023/10/7","20.4","8","1","25.0","8","1","16.8","8","1","7.7","0","8","1","0","1","8","1","9.7","8","1","1014.3","8","1","6.0","8","1"
"2023/10/8","18.1","8","1","21.8","8","1","14.7","8","1","1.6","0","8","1","0.0","0","8","1","12.6","8","1","1022.3","8","1","9.5","8","1"
